Kategori,Subkategori,Deskripsi
Akses,Akses ditolak oleh kesalahan konfigurasi,Pengguna melaporkan akses ditolak oleh kesalahan konfigurasi. Diperlukan investigasi lebih lanjut.
Jaringan,Kabel terlepas,Pengguna melaporkan kabel terlepas. Diperlukan investigasi lebih lanjut.
Keamanan,Aktivitas VM mencurigakan,Pengguna melaporkan aktivitas vm mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat instalasi,Pengguna melaporkan aplikasi berhenti mendadak saat instalasi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Masalah suara kipas,Pengguna melaporkan masalah suara kipas. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: packet sniffing terdeteksi,Pengguna melaporkan jaringan: packet sniffing terdeteksi. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan HIPAA,Pengguna melaporkan akses ditolak oleh kebijakan hipaa. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan PCI,Pengguna melaporkan akses ditolak oleh kebijakan pci. Diperlukan investigasi lebih lanjut.
Keamanan,DNS poisoning mencurigakan,Pengguna melaporkan dns poisoning mencurigakan. Diperlukan investigasi lebih lanjut.
Akses,Kegagalan login SSO,Pengguna melaporkan kegagalan login sso. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: firewall kelebihan beban,Pengguna melaporkan jaringan: firewall kelebihan beban. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan jaringan,Pengguna melaporkan akses ditolak oleh kebijakan jaringan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Cache rusak,Pengguna melaporkan cache rusak. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan CIS,Pengguna melaporkan akses ditolak oleh kebijakan cis. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Kamera laptop buram,Pengguna melaporkan kamera laptop buram. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Registry aplikasi rusak,Pengguna melaporkan registry aplikasi rusak. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan ABAC,Pengguna melaporkan akses ditolak oleh kebijakan abac. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Gangguan perangkat keras menyebabkan layar biru,Pengguna melaporkan gangguan perangkat keras menyebabkan layar biru. Diperlukan investigasi lebih lanjut.
Keamanan,Serangan man-in-the-middle mencurigakan,Pengguna melaporkan serangan man-in-the-middle mencurigakan. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: pelanggaran kebijakan,Pengguna melaporkan jaringan: pelanggaran kebijakan. Diperlukan investigasi lebih lanjut.
Akses,Permintaan hak administrator,Pengguna melaporkan permintaan hak administrator. Diperlukan investigasi lebih lanjut.
Keamanan,RAT mencurigakan terdeteksi,Pengguna melaporkan rat mencurigakan terdeteksi. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan RBAC,Pengguna melaporkan akses ditolak oleh kebijakan rbac. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: RIP salah konfigurasi,Pengguna melaporkan jaringan: rip salah konfigurasi. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan perangkat seluler,Pengguna melaporkan akses ditolak oleh kebijakan perangkat seluler. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop berwarna kehijauan,Pengguna melaporkan layar laptop berwarna kehijauan. Diperlukan investigasi lebih lanjut.
Akses,Folder bersama tidak dapat diakses,Pengguna melaporkan folder bersama tidak dapat diakses. Diperlukan investigasi lebih lanjut.
Keamanan,Lampiran email mencurigakan,Pengguna melaporkan lampiran email mencurigakan. Diperlukan investigasi lebih lanjut.
Keamanan,Port knocking mencurigakan,Pengguna melaporkan port knocking mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat memuat,Pengguna melaporkan aplikasi berhenti mendadak saat memuat. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Masalah docking station,Pengguna melaporkan masalah docking station. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat menjalankan makro,Pengguna melaporkan aplikasi berhenti mendadak saat menjalankan makro. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan browser,Pengguna melaporkan akses ditolak oleh kebijakan browser. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan sertifikat,Pengguna melaporkan akses ditolak oleh kebijakan sertifikat. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kemacetan jaringan,Pengguna melaporkan jaringan: kemacetan jaringan. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: ACL memblokir lalu lintas,Pengguna melaporkan jaringan: acl memblokir lalu lintas. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat menjalankan container,Pengguna melaporkan aplikasi berhenti mendadak saat menjalankan container. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh pembatasan sementara,Pengguna melaporkan akses ditolak oleh pembatasan sementara. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan SOX,Pengguna melaporkan akses ditolak oleh kebijakan sox. Diperlukan investigasi lebih lanjut.
Akses,Kegagalan autentikasi multi-faktor,Pengguna melaporkan kegagalan autentikasi multi-faktor. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat menyimpan,Pengguna melaporkan aplikasi berhenti mendadak saat menyimpan. Diperlukan investigasi lebih lanjut.
Akses,Kesalahan penyediaan akun,Pengguna melaporkan kesalahan penyediaan akun. Diperlukan investigasi lebih lanjut.
Akses,Permintaan akses sementara,Pengguna melaporkan permintaan akses sementara. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop mengalami masalah refresh rate,Pengguna melaporkan layar laptop mengalami masalah refresh rate. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan sistem operasi,Pengguna melaporkan akses ditolak oleh kebijakan sistem operasi. Diperlukan investigasi lebih lanjut.
Jaringan,Kesalahan konfigurasi BGP,Pengguna melaporkan kesalahan konfigurasi bgp. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat shutdown VM,Pengguna melaporkan aplikasi berhenti mendadak saat shutdown vm. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh akses bersyarat,Pengguna melaporkan akses ditolak oleh akses bersyarat. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Mesin virtual berhenti mendadak,Pengguna melaporkan mesin virtual berhenti mendadak. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Kegagalan lampu latar keyboard laptop,Pengguna melaporkan kegagalan lampu latar keyboard laptop. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop driver tidak tersedia,Pengguna melaporkan layar laptop driver tidak tersedia. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Masalah printer,Pengguna melaporkan masalah printer. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kesalahan pengalamatan IP,Pengguna melaporkan jaringan: kesalahan pengalamatan ip. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: NAT salah konfigurasi,Pengguna melaporkan jaringan: nat salah konfigurasi. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan SOC,Pengguna melaporkan akses ditolak oleh kebijakan soc. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Kesalahan runtime skrip,Pengguna melaporkan kesalahan runtime skrip. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat deployment,Pengguna melaporkan aplikasi berhenti mendadak saat deployment. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar sentuh laptop tidak berfungsi,Pengguna melaporkan layar sentuh laptop tidak berfungsi. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat memuat plugin,Pengguna melaporkan aplikasi berhenti mendadak saat memuat plugin. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Kapasitor motherboard rusak,Pengguna melaporkan kapasitor motherboard rusak. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop mengalami masalah grayscale,Pengguna melaporkan layar laptop mengalami masalah grayscale. Diperlukan investigasi lebih lanjut.
Keamanan,Pelanggaran kebijakan khusus mencurigakan,Pengguna melaporkan pelanggaran kebijakan khusus mencurigakan. Diperlukan investigasi lebih lanjut.
Jaringan,Router perlu di-reboot,Pengguna melaporkan router perlu di-reboot. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat analitik,Pengguna melaporkan aplikasi berhenti mendadak saat analitik. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan regulasi,Pengguna melaporkan akses ditolak oleh kebijakan regulasi. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Kesalahan eksekusi makro,Pengguna melaporkan kesalahan eksekusi makro. Diperlukan investigasi lebih lanjut.
Keamanan,Pencurian cookie mencurigakan,Pengguna melaporkan pencurian cookie mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat menjalankan skrip,Pengguna melaporkan aplikasi berhenti mendadak saat menjalankan skrip. Diperlukan investigasi lebih lanjut.
Perangkat Keras,GPU eksternal tidak terdeteksi,Pengguna melaporkan gpu eksternal tidak terdeteksi. Diperlukan investigasi lebih lanjut.
Keamanan,Percobaan eskalasi hak akses,Pengguna melaporkan percobaan eskalasi hak akses. Diperlukan investigasi lebih lanjut.
Keamanan,Manipulasi log audit mencurigakan,Pengguna melaporkan manipulasi log audit mencurigakan. Diperlukan investigasi lebih lanjut.
Jaringan,Loop routing,Pengguna melaporkan loop routing. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan kontraktor,Pengguna melaporkan akses ditolak oleh kebijakan kontraktor. Diperlukan investigasi lebih lanjut.
Keamanan,Pembajakan DNS mencurigakan,Pengguna melaporkan pembajakan dns mencurigakan. Diperlukan investigasi lebih lanjut.
Keamanan,Sertifikat kedaluwarsa,Pengguna melaporkan sertifikat kedaluwarsa. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kesalahan sistem,Pengguna melaporkan akses ditolak oleh kesalahan sistem. Diperlukan investigasi lebih lanjut.
Akses,Akun cloud ditangguhkan,Pengguna melaporkan akun cloud ditangguhkan. Diperlukan investigasi lebih lanjut.
Akses,Token kedaluwarsa,Pengguna melaporkan token kedaluwarsa. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi macet saat startup,Pengguna melaporkan aplikasi macet saat startup. Diperlukan investigasi lebih lanjut.
Jaringan,Konflik ARP,Pengguna melaporkan konflik arp. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Kesalahan formula spreadsheet,Pengguna melaporkan kesalahan formula spreadsheet. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: lalu lintas salah rute,Pengguna melaporkan jaringan: lalu lintas salah rute. Diperlukan investigasi lebih lanjut.
Keamanan,Tugas terjadwal mencurigakan,Pengguna melaporkan tugas terjadwal mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop kabelnya longgar,Pengguna melaporkan layar laptop kabelnya longgar. Diperlukan investigasi lebih lanjut.
Akses,Login VPN ditolak,Pengguna melaporkan login vpn ditolak. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: pergeseran konfigurasi,Pengguna melaporkan jaringan: pergeseran konfigurasi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop konektornya gagal berfungsi,Pengguna melaporkan layar laptop konektornya gagal berfungsi. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat login,Pengguna melaporkan aplikasi berhenti mendadak saat login. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: loop terdeteksi,Pengguna melaporkan jaringan: loop terdeteksi. Diperlukan investigasi lebih lanjut.
Akses,Kata sandi sementara kedaluwarsa,Pengguna melaporkan kata sandi sementara kedaluwarsa. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Dependensi perangkat lunak tidak tersedia,Pengguna melaporkan dependensi perangkat lunak tidak tersedia. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat memuat library,Pengguna melaporkan aplikasi berhenti mendadak saat memuat library. Diperlukan investigasi lebih lanjut.
Keamanan,Cross-site scripting terdeteksi,Pengguna melaporkan cross-site scripting terdeteksi. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: ARP poisoning,Pengguna melaporkan jaringan: arp poisoning. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Masalah kalibrasi scanner,Pengguna melaporkan masalah kalibrasi scanner. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh penyedia SaaS,Pengguna melaporkan akses ditolak oleh penyedia saas. Diperlukan investigasi lebih lanjut.
Keamanan,Percobaan phishing dilaporkan,Pengguna melaporkan percobaan phishing dilaporkan. Diperlukan investigasi lebih lanjut.
Jaringan,Kegagalan port switch,Pengguna melaporkan kegagalan port switch. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: driver sudah usang,Pengguna melaporkan jaringan: driver sudah usang. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Kesalahan registry,Pengguna melaporkan kesalahan registry. Diperlukan investigasi lebih lanjut.
Keamanan,Serangan DDoS terdeteksi,Pengguna melaporkan serangan ddos terdeteksi. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: percobaan spoofing,Pengguna melaporkan jaringan: percobaan spoofing. Diperlukan investigasi lebih lanjut.
Jaringan,Gangguan layanan ISP,Pengguna melaporkan gangguan layanan isp. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Plugin tidak dapat dimuat,Pengguna melaporkan plugin tidak dapat dimuat. Diperlukan investigasi lebih lanjut.
Keamanan,Pelanggaran kepatuhan mencurigakan,Pengguna melaporkan pelanggaran kepatuhan mencurigakan. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: routing asimetris,Pengguna melaporkan jaringan: routing asimetris. Diperlukan investigasi lebih lanjut.
Keamanan,Infeksi ransomware,Pengguna melaporkan infeksi ransomware. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop mengalami kesalahan resolusi,Pengguna melaporkan layar laptop mengalami kesalahan resolusi. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat pemulihan,Pengguna melaporkan aplikasi berhenti mendadak saat pemulihan. Diperlukan investigasi lebih lanjut.
Akses,Akun terkunci,Pengguna melaporkan akun terkunci. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kegagalan tunnel GRE,Pengguna melaporkan jaringan: kegagalan tunnel gre. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat kompilasi,Pengguna melaporkan aplikasi berhenti mendadak saat kompilasi. Diperlukan investigasi lebih lanjut.
Keamanan,Kompromi pihak ketiga mencurigakan,Pengguna melaporkan kompromi pihak ketiga mencurigakan. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kegagalan tunnel IPsec,Pengguna melaporkan jaringan: kegagalan tunnel ipsec. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan kepatuhan,Pengguna melaporkan akses ditolak oleh kebijakan kepatuhan. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kecepatan lambat,Pengguna melaporkan jaringan: kecepatan lambat. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Kegagalan slot RAM laptop,Pengguna melaporkan kegagalan slot ram laptop. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop berkedip,Pengguna melaporkan layar laptop berkedip. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan endpoint,Pengguna melaporkan akses ditolak oleh kebijakan endpoint. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Format file tidak didukung,Pengguna melaporkan format file tidak didukung. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: banjir peringatan,Pengguna melaporkan jaringan: banjir peringatan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi tidak merespons,Pengguna melaporkan aplikasi tidak merespons. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Engsel rusak,Pengguna melaporkan engsel rusak. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat migrasi VM,Pengguna melaporkan aplikasi berhenti mendadak saat migrasi vm. Diperlukan investigasi lebih lanjut.
Perangkat Keras,BIOS laptop rusak,Pengguna melaporkan bios laptop rusak. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: perangkat tidak sah terdeteksi,Pengguna melaporkan jaringan: perangkat tidak sah terdeteksi. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh server,Pengguna melaporkan akses ditolak oleh server. Diperlukan investigasi lebih lanjut.
Jaringan,Kegagalan DHCP,Pengguna melaporkan kegagalan dhcp. Diperlukan investigasi lebih lanjut.
Keamanan,Aktivitas botnet,Pengguna melaporkan aktivitas botnet. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Desktop tidak dapat boot,Pengguna melaporkan desktop tidak dapat boot. Diperlukan investigasi lebih lanjut.
Jaringan,Sertifikat VPN kedaluwarsa,Pengguna melaporkan sertifikat vpn kedaluwarsa. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Monitor berkedip,Pengguna melaporkan monitor berkedip. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Konflik driver,Pengguna melaporkan konflik driver. Diperlukan investigasi lebih lanjut.
Keamanan,Aktivitas administrator mencurigakan,Pengguna melaporkan aktivitas administrator mencurigakan. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan VPN,Pengguna melaporkan akses ditolak oleh kebijakan vpn. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Kegagalan motherboard,Pengguna melaporkan kegagalan motherboard. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kegagalan bridge,Pengguna melaporkan jaringan: kegagalan bridge. Diperlukan investigasi lebih lanjut.
Keamanan,MAC spoofing mencurigakan,Pengguna melaporkan mac spoofing mencurigakan. Diperlukan investigasi lebih lanjut.
Jaringan,Masalah resolusi DNS,Pengguna melaporkan masalah resolusi dns. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Penggunaan CPU aplikasi berlebihan,Pengguna melaporkan penggunaan cpu aplikasi berlebihan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop redup,Pengguna melaporkan layar laptop redup. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh layanan cloud,Pengguna melaporkan akses ditolak oleh layanan cloud. Diperlukan investigasi lebih lanjut.
Jaringan,Port Ethernet dinonaktifkan,Pengguna melaporkan port ethernet dinonaktifkan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar tablet retak,Pengguna melaporkan layar tablet retak. Diperlukan investigasi lebih lanjut.
Akses,Kesalahan delegasi akses,Pengguna melaporkan kesalahan delegasi akses. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat debugging,Pengguna melaporkan aplikasi berhenti mendadak saat debugging. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,File rusak,Pengguna melaporkan file rusak. Diperlukan investigasi lebih lanjut.
Keamanan,Lokasi login mencurigakan,Pengguna melaporkan lokasi login mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Kertas printer macet,Pengguna melaporkan kertas printer macet. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kegagalan alat pemantauan,Pengguna melaporkan jaringan: kegagalan alat pemantauan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Kegagalan lampu proyektor,Pengguna melaporkan kegagalan lampu proyektor. Diperlukan investigasi lebih lanjut.
Keamanan,Skrip PowerShell mencurigakan,Pengguna melaporkan skrip powershell mencurigakan. Diperlukan investigasi lebih lanjut.
Keamanan,Pelanggaran PCI mencurigakan,Pengguna melaporkan pelanggaran pci mencurigakan. Diperlukan investigasi lebih lanjut.
Jaringan,Kesalahan autentikasi proxy,Pengguna melaporkan kesalahan autentikasi proxy. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat pengujian,Pengguna melaporkan aplikasi berhenti mendadak saat pengujian. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat memutuskan koneksi,Pengguna melaporkan aplikasi berhenti mendadak saat memutuskan koneksi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,GPU laptop tidak terdeteksi,Pengguna melaporkan gpu laptop tidak terdeteksi. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: peringatan IPS,Pengguna melaporkan jaringan: peringatan ips. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Masalah lisensi,Pengguna melaporkan masalah lisensi. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan enkripsi,Pengguna melaporkan akses ditolak oleh kebijakan enkripsi. Diperlukan investigasi lebih lanjut.
Keamanan,Eksploit zero-day,Pengguna melaporkan eksploit zero-day. Diperlukan investigasi lebih lanjut.
Jaringan,Broadcast storm,Pengguna melaporkan broadcast storm. Diperlukan investigasi lebih lanjut.
Keamanan,Dump memori mencurigakan,Pengguna melaporkan dump memori mencurigakan. Diperlukan investigasi lebih lanjut.
Jaringan,Kesalahan mode bridge,Pengguna melaporkan kesalahan mode bridge. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Masalah mouse,Pengguna melaporkan masalah mouse. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: PAT salah konfigurasi,Pengguna melaporkan jaringan: pat salah konfigurasi. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Perangkat lunak kehabisan waktu,Pengguna melaporkan perangkat lunak kehabisan waktu. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat dijalankan,Pengguna melaporkan aplikasi berhenti mendadak saat dijalankan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Tombol keyboard macet,Pengguna melaporkan tombol keyboard macet. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: server DNS tidak aktif,Pengguna melaporkan jaringan: server dns tidak aktif. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Scanner tidak terdeteksi,Pengguna melaporkan scanner tidak terdeteksi. Diperlukan investigasi lebih lanjut.
Keamanan,Peringatan intrusi firewall,Pengguna melaporkan peringatan intrusi firewall. Diperlukan investigasi lebih lanjut.
Keamanan,Login cloud mencurigakan,Pengguna melaporkan login cloud mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Kipas laptop berisik,Pengguna melaporkan kipas laptop berisik. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Kebocoran memori terdeteksi,Pengguna melaporkan kebocoran memori terdeteksi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,HDD eksternal tidak dapat dipasang,Pengguna melaporkan hdd eksternal tidak dapat dipasang. Diperlukan investigasi lebih lanjut.
Jaringan,Kegagalan koneksi VPN,Pengguna melaporkan kegagalan koneksi vpn. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Mikrofon laptop tidak berfungsi,Pengguna melaporkan mikrofon laptop tidak berfungsi. Diperlukan investigasi lebih lanjut.
Akses,Akun tidak aktif,Pengguna melaporkan akun tidak aktif. Diperlukan investigasi lebih lanjut.
Keamanan,Serangan rantai pasok mencurigakan,Pengguna melaporkan serangan rantai pasok mencurigakan. Diperlukan investigasi lebih lanjut.
Keamanan,Pelanggaran SOX mencurigakan,Pengguna melaporkan pelanggaran sox mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Suara speaker laptop terdistorsi,Pengguna melaporkan suara speaker laptop terdistorsi. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: MPLS salah konfigurasi,Pengguna melaporkan jaringan: mpls salah konfigurasi. Diperlukan investigasi lebih lanjut.
Keamanan,Peringatan SCADA mencurigakan,Pengguna melaporkan peringatan scada mencurigakan. Diperlukan investigasi lebih lanjut.
Akses,Akun dinonaktifkan oleh kebijakan,Pengguna melaporkan akun dinonaktifkan oleh kebijakan. Diperlukan investigasi lebih lanjut.
Jaringan,IP duplikat terdeteksi,Pengguna melaporkan ip duplikat terdeteksi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop menampilkan garis-garis,Pengguna melaporkan layar laptop menampilkan garis-garis. Diperlukan investigasi lebih lanjut.
Keamanan,Kompromi kontraktor mencurigakan,Pengguna melaporkan kompromi kontraktor mencurigakan. Diperlukan investigasi lebih lanjut.
Jaringan,Masalah captive portal,Pengguna melaporkan masalah captive portal. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Versi sistem operasi tidak didukung,Pengguna melaporkan versi sistem operasi tidak didukung. Diperlukan investigasi lebih lanjut.
Keamanan,Pelanggaran CIS mencurigakan,Pengguna melaporkan pelanggaran cis mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Deadlock pada aplikasi,Pengguna melaporkan deadlock pada aplikasi. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: EIGRP salah konfigurasi,Pengguna melaporkan jaringan: eigrp salah konfigurasi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Kegagalan RAM,Pengguna melaporkan kegagalan ram. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: jitter,Pengguna melaporkan jaringan: jitter. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: pemindaian port terdeteksi,Pengguna melaporkan jaringan: pemindaian port terdeteksi. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Kegagalan startup aplikasi,Pengguna melaporkan kegagalan startup aplikasi. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Proses latar belakang macet,Pengguna melaporkan proses latar belakang macet. Diperlukan investigasi lebih lanjut.
Keamanan,Percobaan SQL injection,Pengguna melaporkan percobaan sql injection. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop mengalami masalah kecerahan,Pengguna melaporkan layar laptop mengalami masalah kecerahan. Diperlukan investigasi lebih lanjut.
Keamanan,Pemalsuan email terdeteksi,Pengguna melaporkan pemalsuan email terdeteksi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,CPU terlalu panas,Pengguna melaporkan cpu terlalu panas. Diperlukan investigasi lebih lanjut.
Jaringan,Lonjakan latensi,Pengguna melaporkan lonjakan latensi. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat pembaruan,Pengguna melaporkan aplikasi berhenti mendadak saat pembaruan. Diperlukan investigasi lebih lanjut.
Keamanan,Aktivitas hypervisor mencurigakan,Pengguna melaporkan aktivitas hypervisor mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Ketidakcocokan versi,Pengguna melaporkan ketidakcocokan versi. Diperlukan investigasi lebih lanjut.
Keamanan,Pemindaian jaringan mencurigakan,Pengguna melaporkan pemindaian jaringan mencurigakan. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: VLAN salah konfigurasi,Pengguna melaporkan jaringan: vlan salah konfigurasi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Trackpad laptop bergerak tidak stabil,Pengguna melaporkan trackpad laptop bergerak tidak stabil. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop menampilkan warna terbalik,Pengguna melaporkan layar laptop menampilkan warna terbalik. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Masalah klik ganda mouse,Pengguna melaporkan masalah klik ganda mouse. Diperlukan investigasi lebih lanjut.
